"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\src\Boundary\BInserzionista.java", "Java", -4, 0, 1, -3
"Total", "-", -4, 0, 1, -3
